Ngày;MKH;Tên Tắt;DD chính;Lộ điểm đo;SL BT;SL CD;SL TD;Tổng SL;Tiền BT;Tiền CD;Tiền TD;Tiền trước thuế;Tiền sau thuế;Phạt Q Trc Thuế;Phạt Q sau thuế;Ngày thanh toán
10/10/2024;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-3740;-1760;-660;-6160;-6242060;-5443680;-715440;-12401180;-13393274,4;0;0;15/10/2024
10/10/2024;EVN-YM;EVN-YM;2346021347;YM 472E28.6;-59980;-25118;-16698;-101796;-100106620;-77689974;-18100632;-195897226;-211569004,1;0;0;16/10/2024
10/10/2024;EVN-YM;EVN-YM;3001347;YM 472E28.6;-42900;-9090;-8070;-60060;-70270200;-27579060;-8586480;-106435740;-114950599,2;0;0;16/10/2024
10/10/2024;KCNTH-002;TH-Asahi;2210575757;TH486 E11.9;43458;15372;12192;71022;78615522;50942808;14435328;143993658;143993658;0;0;16/10/2024
11/10/2024;EVN-PĐ;EVN-PĐ;21041898;PĐ472;-10960;-3600;-880;-15440;-17952480;-10922400;-936320;-29811200;-32196096;0;0;16/10/2024
11/10/2024;EVN-TH;EVN-TH;2046008580;TH486 E11.9;-6273;-2509;-1673;-10455;-10469637;-7760337;-1813532;-20043506;-21646986,48;0;0;16/10/2024
11/10/2024;EVN-TH;EVN-TH;2046008583;TH484 E11.9;0;0;0;0;0;0;0;0;0;0;0;16/10/2024
11/10/2024;EVN-TH;EVN-TH;2110155910;TH476 E11.9;-484;-264;-88;-836;-807796;-816552;-95392;-1719740;-1857319,2;0;0;16/10/2024
11/10/2024;EVN-YM;EVN-YM;2346021347;YM 472E28.6;-6180;-2948;-954;-10082;-10314420;-9118164;-1034136;-20466720;-22104057,6;0;0;16/10/2024
11/10/2024;EVN-YM;EVN-YM;3001347;YM 472E28.6;-2940;-540;-150;-3630;-4815720;-1638360;-159600;-6613680;-7142774,4;0;0;16/10/2024
11/10/2024;KCNPĐ-001;PĐ-BQL;2310231609;PĐ472;352;184;195;731;636768;609776;230880;1477424;1595617,92;0;0;16/10/2024
11/10/2024;KCNPĐ-001;PĐ-BQL;2310231610;PĐ472;0;0;0;0;0;0;0;0;0;0;0;16/10/2024
11/10/2024;KCNPĐ-002;PĐ-AMP;2310231611;PĐ472;10438;3434;672;14544;18882342;11380276;795648;31058266;33542927,28;0;0;16/10/2024
